Runs,Wkts,Balls,Ave,RPO,Ground,StartDate
923,40,1368,23.07,4.04,Sydney,3 Jan 2014
869,32,1771,27.15,2.94,Melbourne,26 Dec 2013
1358,36,2291,37.72,3.55,Perth,13 Dec 2013
1186,32,2202,37.06,3.23,Adelaide,5 Dec 2013
1011,37,1950,27.32,3.11,Brisbane,21 Nov 2013
1186,30,2019,39.53,3.52,The Oval,21 Aug 2013
1062,40,2071,26.55,3.07,Chester-le-Street,9 Aug 2013
1104,27,2052,40.88,3.22,Manchester,1 Aug 2013
1073,37,2150,29,2.99,Lord's,18 Jul 2013
1166,40,2307,29.15,3.03,Nottingham,10 Jul 2013
1205,30,2212,40.16,3.26,Sydney,3 Jan 2011
869,29,1726,29.96,3.02,Melbourne,26 Dec 2010
887,40,1569,22.17,3.39,Perth,16 Dec 2010
1169,25,2022,46.76,3.46,Adelaide,3 Dec 2010
1365,22,2481,62.04,3.3,Brisbane,25 Nov 2010
1213,39,2046,31.1,3.55,The Oval,20 Aug 2009
810,30,1197,27,4.06,Leeds,7 Aug 2009
1014,25,1659,40.56,3.66,Birmingham,30 Jul 2009
1357,36,2058,37.69,3.95,Lord's,16 Jul 2009
1361,25,2357,54.44,3.46,Cardiff,8 Jul 2009
877,30,1614,29.23,3.26,Sydney,2 Jan 2007
739,30,1492,24.63,2.97,Melbourne,26 Dec 2006
1336,35,2217,38.17,3.61,Perth,14 Dec 2006
1361,30,2636,45.36,3.09,Adelaide,1 Dec 2006
1331,30,2169,44.36,3.68,Brisbane,23 Nov 2006
1079,30,1829,35.96,3.53,The Oval,8 Sep 2005
1211,37,1969,32.72,3.69,Nottingham,25 Aug 2005
1397,35,2208,39.91,3.79,Manchester,11 Aug 2005
1176,40,1632,29.4,4.32,Birmingham,4 Aug 2005
909,40,1484,22.72,3.67,Lord's,21 Jul 2005
1403,39,2322,35.97,3.62,Sydney,2 Jan 2003
1315,31,2276,42.41,3.46,Melbourne,26 Dec 2002
864,28,1474,30.85,3.51,Perth,29 Nov 2002
1053,29,1887,36.31,3.34,Adelaide,21 Nov 2002
1192,33,2019,36.12,3.54,Brisbane,7 Nov 2002
1257,24,2033,52.37,3.7,The Oval,23 Aug 2001
1247,28,1844,44.53,4.05,Leeds,16 Aug 2001
695,33,1164,21.06,3.58,Nottingham,2 Aug 2001
829,32,1403,25.9,3.54,Lord's,19 Jul 2001
1034,29,1424,35.65,4.35,Birmingham,5 Jul 2001
914,40,1792,22.85,3.06,Sydney,2 Jan 1999
1016,40,1809,25.4,3.36,Melbourne,26 Dec 1998
1133,35,2374,32.37,2.86,Adelaide,11 Dec 1998
607,33,1330,18.39,2.73,Perth,28 Nov 1998
1276,29,2498,44,3.06,Brisbane,20 Nov 1998
667,40,1411,16.67,2.83,The Oval,21 Aug 1997
1262,40,2180,31.55,3.47,Nottingham,7 Aug 1997
941,29,1643,32.44,3.43,Leeds,24 Jul 1997
992,38,2147,26.1,2.77,Manchester,3 Jul 1997
556,21,1095,26.47,3.04,Lord's,19 Jun 1997
1192,30,2020,39.73,3.54,Birmingham,5 Jun 1997
1165,38,2183,30.65,3.2,Perth,3 Feb 1995
1256,40,2516,31.4,2.99,Adelaide,26 Jan 1995
1024,29,2135,35.31,2.87,Sydney,1 Jan 1995
903,37,2148,24.4,2.52,Melbourne,24 Dec 1994
1164,38,2478,30.63,2.81,Brisbane,25 Nov 1994
1225,40,2382,30.62,3.08,The Oval,19 Aug 1993
1055,32,2571,32.96,2.46,Birmingham,5 Aug 1993
1158,24,2417,48.25,2.87,Leeds,22 Jul 1993
1318,32,2749,41.18,2.87,Nottingham,1 Jul 1993
1202,24,2765,50.08,2.6,Lord's,17 Jun 1993
1263,35,2626,36.08,2.88,Manchester,3 Jun 1993
853,31,1502,27.51,3.4,Perth,1 Feb 1991
1264,31,2501,40.77,3.03,Adelaide,25 Jan 1991
1305,32,2659,40.78,2.94,Sydney,4 Jan 1991
1005,32,2421,31.4,2.49,Melbourne,26 Dec 1990
617,30,1441,20.56,2.56,Brisbane,23 Nov 1990
1115,29,2003,38.44,3.33,The Oval,24 Aug 1989
1024,25,2033,40.96,3.02,Nottingham,10 Aug 1989
1052,31,2486,33.93,2.53,Manchester,27 Jul 1989
824,22,1821,37.45,2.71,Birmingham,6 Jul 1989
1292,34,2491,38,3.11,Lord's,22 Jun 1989
1452,30,2463,48.4,3.53,Leeds,8 Jun 1989
1133,40,2819,28.32,2.41,Sydney,10 Jan 1987
684,30,1495,22.8,2.74,Melbourne,26 Dec 1986
1209,20,2596,60.45,2.79,Adelaide,12 Dec 1986
1389,30,2732,46.3,3.05,Perth,28 Nov 1986
1063,33,2268,32.21,2.81,Brisbane,14 Nov 1986
834,30,1493,27.8,3.35,The Oval,29 Aug 1985
1072,25,1872,42.88,3.43,Birmingham,15 Aug 1985
1079,24,2221,44.95,2.91,Manchester,1 Aug 1985
1191,22,2394,54.13,2.98,Nottingham,11 Jul 1985
1103,36,2100,30.63,3.15,Lord's,27 Jun 1985
1311,35,2265,37.45,3.47,Leeds,13 Jun 1985
1247,37,2444,33.7,3.06,Sydney,2 Jan 1983
1153,40,2024,28.82,3.41,Melbourne,26 Dec 1982
1041,32,2115,32.53,2.95,Adelaide,10 Dec 1982
1059,33,2181,32.09,2.91,Brisbane,26 Nov 1982
1266,31,2556,40.83,2.97,Perth,12 Nov 1982
1271,36,2652,35.3,2.87,The Oval,27 Aug 1981
1167,40,2424,29.17,2.88,Manchester,13 Aug 1981
787,40,1890,19.67,2.49,Birmingham,30 Jul 1981
1042,39,1979,26.71,3.15,Leeds,16 Jul 1981
1011,32,2342,31.59,2.59,Lord's,2 Jul 1981
621,36,1418,17.25,2.62,Nottingham,18 Jun 1981
684,31,1882,22.06,2.18,Sydney,10 Feb 1979
853,40,2430,21.32,2.1,Adelaide,27 Jan 1979
903,40,2854,22.57,1.89,Sydney,6 Jan 1979
747,40,2329,18.67,1.92,Melbourne,29 Dec 1978
868,40,2374,21.7,2.19,Perth,15 Dec 1978
911,33,2430,27.6,2.24,Brisbane,1 Dec 1978
656,22,1553,29.81,2.53,The Oval,25 Aug 1977
787,30,1662,26.23,2.84,Leeds,11 Aug 1977
1105,33,2490,33.48,2.66,Nottingham,28 Jul 1977
1034,31,2337,33.35,2.65,Manchester,7 Jul 1977
931,36,2116,25.86,2.63,Lord's,16 Jun 1977
1301,31,3007,41.96,2.59,The Oval,28 Aug 1975
934,33,2071,28.3,2.7,Leeds,14 Aug 1975
1348,30,2532,44.93,3.19,Lord's,31 Jul 1975
633,30,1451,21.1,2.61,Birmingham,10 Jul 1975
1054,30,2360,35.13,2.67,Melbourne,8 Feb 1975
989,35,2047,28.25,2.89,Adelaide,25 Jan 1975
1217,34,2528,35.79,2.88,Sydney,4 Jan 1975
965,38,2641,25.39,2.19,Melbourne,26 Dec 1974
1005,31,2153,32.41,2.8,Perth,13 Dec 1974
1028,35,2519,29.37,2.44,Brisbane,29 Nov 1974
1281,35,2747,36.6,2.79,The Oval,10 Aug 1972
566,31,1699,18.25,1.99,Leeds,27 Jul 1972
1118,28,2683,39.92,2.5,Nottingham,13 Jul 1972
777,32,1777,24.28,2.62,Lord's,22 Jun 1972
877,40,2102,21.92,2.5,Manchester,8 Jun 1972
910,40,2587,22.75,2.11,Sydney,12 Feb 1971
1266,27,3027,46.88,2.5,Adelaide,29 Jan 1971
1215,23,2957,52.82,2.46,Melbourne,21 Jan 1971
1003,34,2578,29.5,2.33,Sydney,9 Jan 1971
1224,29,3049,42.2,2.4,Perth,11 Dec 1970
1150,31,2971,37.09,2.32,Brisbane,27 Nov 1970
1124,40,3042,28.1,2.21,The Oval,22 Aug 1968
1159,34,3113,34.08,2.23,Leeds,25 Jul 1968
841,23,2005,36.56,2.51,Birmingham,11 Jul 1968
556,20,1471,27.8,2.26,Lord's,20 Jun 1968
995,40,2598,24.87,2.29,Manchester,6 Jun 1968
1097,20,2386,54.85,2.75,Melbourne,11 Feb 1966
1023,30,2358,34.1,2.6,Adelaide,28 Jan 1966
883,30,2139,29.43,2.47,Sydney,7 Jan 1966
1347,30,2955,44.9,2.73,Melbourne,30 Dec 1965
909,19,2241,47.84,2.43,Brisbane,10 Dec 1965
942,24,2473,39.25,2.28,The Oval,13 Aug 1964
1271,18,3306,70.61,2.3,Manchester,23 Jul 1964
997,33,2453,30.21,2.43,Leeds,2 Jul 1964
590,24,1545,24.58,2.29,Lord's,18 Jun 1964
617,29,1540,21.27,2.4,Nottingham,4 Jun 1964
1090,32,3360,34.06,1.94,Sydney,15 Feb 1963
1240,34,2726,36.47,2.72,Adelaide,25 Jan 1963
769,32,2055,24.03,2.24,Sydney,11 Jan 1963
1132,33,2723,34.3,2.49,Melbourne,29 Dec 1962
1433,30,3296,47.76,2.6,Brisbane,30 Nov 1962
1120,28,2766,40,2.42,The Oval,17 Aug 1961
1190,40,2824,29.75,2.52,Manchester,27 Jul 1961
718,32,2009,22.43,2.14,Leeds,6 Jul 1961
819,35,2015,23.4,2.43,Lord's,22 Jun 1961
1112,23,2348,48.34,2.84,Birmingham,8 Jun 1961
