Bat1,Bat2,Runs,BF,SR,4s,6s,Opposition,Ground,StartDate,Player
57,64*,121,168,72.02,14,4,Australia,Lord's,21 Jul 2005,pietersen
71,20,91,111,81.98,10,3,Australia,Birmingham,4 Aug 2005,pietersen
21,0,21,29,72.41,1,0,Australia,Manchester,11 Aug 2005,pietersen
45,23,68,142,47.88,9,0,Australia,Nottingham,25 Aug 2005,pietersen
14,158,172,212,81.13,17,7,Australia,The Oval,8 Sep 2005,pietersen
16,92,108,199,54.27,15,0,Australia,Brisbane,23 Nov 2006,pietersen
158,2,160,262,61.06,15,1,Australia,Adelaide,1 Dec 2006,pietersen
70,60*,130,273,47.61,14,1,Australia,Perth,14 Dec 2006,pietersen
21,1,22,78,28.2,0,0,Australia,Melbourne,26 Dec 2006,pietersen
41,29,70,199,35.17,4,0,Australia,Sydney,2 Jan 2007,pietersen
69,8,77,165,46.66,4,0,Australia,Cardiff,8 Jul 2009,pietersen
32,44,76,143,53.14,9,0,Australia,Lord's,16 Jul 2009,pietersen
43,DNB,43,70,61.42,6,0,Australia,Brisbane,25 Nov 2010,pietersen
227,-,227,308,73.7,33,1,Australia,Adelaide,3 Dec 2010,pietersen
0,3,3,26,11.53,0,0,Australia,Perth,16 Dec 2010,pietersen
51,-,51,89,57.3,7,0,Australia,Melbourne,26 Dec 2010,pietersen
36,-,36,70,51.42,4,0,Australia,Sydney,3 Jan 2011,pietersen
14,64,78,173,45.08,15,0,Australia,Nottingham,10 Jul 2013,pietersen
2,5,7,15,46.66,1,0,Australia,Lord's,18 Jul 2013,pietersen
113,8,121,222,54.5,13,2,Australia,Manchester,1 Aug 2013,pietersen
26,44,70,119,58.82,10,0,Australia,Chester-le-Street,9 Aug 2013,pietersen
50,62,112,188,59.57,14,0,Australia,The Oval,21 Aug 2013,pietersen
18,26,44,94,46.8,3,0,Australia,Brisbane,21 Nov 2013,pietersen
4,53,57,111,51.35,2,3,Australia,Adelaide,5 Dec 2013,pietersen
19,45,64,116,55.17,9,1,Australia,Perth,13 Dec 2013,pietersen
71,49,120,251,47.8,11,1,Australia,Melbourne,26 Dec 2013,pietersen
3,6,9,19,47.36,0,0,Australia,Sydney,3 Jan 2014,pietersen
11,43,54,109,49.54,5,0,Australia,Brisbane,23 Nov 2006,cook
27,9,36,92,39.13,3,0,Australia,Adelaide,1 Dec 2006,cook
15,116,131,305,42.95,11,0,Australia,Perth,14 Dec 2006,cook
11,20,31,83,37.34,2,0,Australia,Melbourne,26 Dec 2006,cook
20,4,24,55,43.63,3,0,Australia,Sydney,2 Jan 2007,cook
10,6,16,37,43.24,1,0,Australia,Cardiff,8 Jul 2009,cook
95,32,127,189,67.19,24,0,Australia,Lord's,16 Jul 2009,cook
