Team,Score,Overs,RPO,Result,Opposition,Ground,StartDate
AU,291,169.0x4,2.58,won,EN,Melbourne,30 Dec 1882
EN,177,107.2x4,2.46,lost,AU,Melbourne,30 Dec 1882
EN,169,99.1x4,2.55,lost,AU,Melbourne,30 Dec 1882
AU,58/1,53.1x4,1.63,won,EN,Melbourne,30 Dec 1882
EN,294,183.3x4,2.4,won,AU,Melbourne,19 Jan 1883
AU,114,98.2x4,1.73,lost,EN,Melbourne,19 Jan 1883
AU,153,69.0x4,3.32,lost,EN,Melbourne,19 Jan 1883
EN,247,143.0x4,2.59,won,AU,Sydney,26 Jan 1883
AU,218,179.1x4,1.82,lost,EN,Sydney,26 Jan 1883
EN,123,80.1x4,2.29,won,AU,Sydney,26 Jan 1883
AU,83,69.2x4,1.79,lost,EN,Sydney,26 Jan 1883
EN,95,63.0x4,2.26,draw,AU,Manchester,10 Jul 1884
AU,182,130.0x4,2.1,draw,EN,Manchester,10 Jul 1884
EN,180/9,130.0x4,2.07,draw,AU,Manchester,10 Jul 1884
AU,229,105.2x4,3.25,lost,EN,Lord's,21 Jul 1884
EN,379,184.1x4,3.08,won,AU,Lord's,21 Jul 1884
AU,145,94.1x4,2.3,lost,EN,Lord's,21 Jul 1884
AU,551,311.0x4,2.65,draw,EN,The Oval,11 Aug 1884
EN,346,198.0x4,2.62,draw,AU,The Oval,11 Aug 1884
EN,85/2,26.0x4,4.9,draw,AU,The Oval,11 Aug 1884
AU,243,149.1x4,2.44,lost,EN,Adelaide,12 Dec 1884
EN,369,243.2x4,2.27,won,AU,Adelaide,12 Dec 1884
AU,191,116.1x4,2.46,lost,EN,Adelaide,12 Dec 1884
EN,67/2,31.0x4,3.24,won,AU,Adelaide,12 Dec 1884
EN,401,216.2x4,2.77,won,AU,Melbourne,1 Jan 1885
AU,279,274.1x4,1.52,lost,EN,Melbourne,1 Jan 1885
AU,126,114.3x4,1.64,lost,EN,Melbourne,1 Jan 1885
EN,7/0,1.1x4,8.4,won,AU,Melbourne,1 Jan 1885
AU,181,167.2x4,1.62,won,EN,Sydney,20 Feb 1885
EN,133,95.1x4,2.09,lost,AU,Sydney,20 Feb 1885
AU,165,157.0x4,1.57,won,EN,Sydney,20 Feb 1885
EN,207,111.1x4,2.79,lost,AU,Sydney,20 Feb 1885
EN,269,126.0x4,3.2,lost,AU,Sydney,14 Mar 1885
AU,309,169.3x4,2.73,won,EN,Sydney,14 Mar 1885
EN,77,39.1x4,2.94,lost,AU,Sydney,14 Mar 1885
AU,38/2,24.3x4,2.3,won,EN,Sydney,14 Mar 1885
AU,163,106.0x4,2.3,lost,EN,Melbourne,21 Mar 1885
EN,386,221.3x4,2.61,won,AU,Melbourne,21 Mar 1885
AU,125,102.1x4,1.83,lost,EN,Melbourne,21 Mar 1885
AU,205,137.1x4,2.24,lost,EN,Manchester,5 Jul 1886
EN,223,157.2x4,2.12,won,AU,Manchester,5 Jul 1886
AU,123,118.3x4,1.55,lost,EN,Manchester,5 Jul 1886
EN,107/6,77.2x4,2.07,won,AU,Manchester,5 Jul 1886
EN,353,259.0x4,2.04,won,AU,Lord's,19 Jul 1886
AU,121,82.3x4,2.19,lost,EN,Lord's,19 Jul 1886
AU,126,111.1x4,1.69,lost,EN,Lord's,19 Jul 1886
EN,434,304.1x4,2.13,won,AU,The Oval,12 Aug 1886
AU,68,60.2x4,1.68,lost,EN,The Oval,12 Aug 1886
AU,149,97.0x4,2.3,lost,EN,The Oval,12 Aug 1886
EN,45,35.3x4,1.88,won,AU,Sydney,28 Jan 1887
AU,119,113.1x4,1.57,lost,EN,Sydney,28 Jan 1887
EN,184,136.2x4,2.02,won,AU,Sydney,28 Jan 1887
AU,97,107.0x4,1.35,lost,EN,Sydney,28 Jan 1887
EN,151,109.0x4,2.07,won,AU,Sydney,25 Feb 1887
AU,84,55.1x4,2.28,lost,EN,Sydney,25 Feb 1887
EN,154,140.1x4,1.64,won,AU,Sydney,25 Feb 1887
AU,150,110.0x4,2.04,lost,EN,Sydney,25 Feb 1887
EN,113,100.0x4,1.69,won,AU,Sydney,10 Feb 1888
AU,42,37.3x4,1.66,lost,EN,Sydney,10 Feb 1888
EN,137,75.0x4,2.74,won,AU,Sydney,10 Feb 1888
AU,82,69.2x4,1.76,lost,EN,Sydney,10 Feb 1888
AU,116,71.2x4,2.43,won,EN,Lord's,16 Jul 1888
EN,53,50.0x4,1.59,lost,AU,Lord's,16 Jul 1888
AU,60,29.2x4,3.05,won,EN,Lord's,16 Jul 1888
EN,62,47.0x4,1.97,lost,AU,Lord's,16 Jul 1888
AU,80,90.3x4,1.32,lost,EN,The Oval,13 Aug 1888
EN,317,138.2x4,3.43,won,AU,The Oval,13 Aug 1888
AU,100,69.2x4,2.15,lost,EN,The Oval,13 Aug 1888
EN,172,113.1x4,2.27,won,AU,Manchester,30 Aug 1888
AU,81,52.2x4,2.31,lost,EN,Manchester,30 Aug 1888
AU,70,31.1x4,3.36,lost,EN,Manchester,30 Aug 1888
AU,132,86.0x5,1.84,lost,EN,Lord's,21 Jul 1890
EN,173,110.1x5,1.88,won,AU,Lord's,21 Jul 1890
AU,176,140.2x5,1.5,lost,EN,Lord's,21 Jul 1890
EN,137/3,75.0x5,2.19,won,AU,Lord's,21 Jul 1890
AU,92,65.2x5,1.68,lost,EN,The Oval,11 Aug 1890
EN,100,55.0x5,2.18,won,AU,The Oval,11 Aug 1890
AU,102,60.2x5,2.02,lost,EN,The Oval,11 Aug 1890
